Date,Num1,Num2,Num3,Num4,Num5,Num6
2020-09-02,8,10,14,16,18,24
2020-09-04,7,16,20,30,40,41
2020-09-06,1,6,19,29,31,44
2020-09-09,19,21,34,35,36,39
2020-09-11,4,11,13,16,17,33
2020-09-13,20,23,28,37,40,44
2020-09-16,5,20,29,30,38,40
2020-09-18,10,19,21,23,27,33
2020-09-20,5,7,9,13,15,16
2020-09-23,2,8,17,23,30,41
2020-09-25,14,20,22,35,44,45
2020-09-27,1,12,26,31,37,38
2020-09-30,2,5,31,32,42,44
2020-10-02,9,11,21,31,32,37
2020-10-04,9,16,19,25,26,39
2020-10-07,13,15,25,26,28,34
2020-10-09,15,19,23,30,33,39
2020-10-11,12,18,28,31,40,45
2020-10-14,4,7,23,32,43,44
2020-10-16,4,14,16,23,24,27
2020-10-18,1,14,25,26,30,40
2020-10-21,4,11,26,36,38,41
2020-10-23,5,10,16,23,34,45
2020-10-25,11,19,30,38,41,45
2020-10-28,1,4,7,15,35,45
2020-10-30,4,5,14,18,23,43
2020-11-01,6,21,27,30,32,44
2020-11-04,3,8,11,13,26,38
2020-11-06,19,24,30,32,36,37
2020-11-08,3,12,14,16,23,33
2020-11-11,4,10,12,17,20,35
2020-11-13,8,22,23,33,34,36
2020-11-15,14,16,21,29,40,41
2020-11-18,18,19,21,31,39,44
2020-11-20,2,17,24,29,31,37
2020-11-22,9,16,17,24,32,40
2020-11-25,1,5,7,8,25,40
2020-11-27,1,9,12,13,37,43
2020-11-29,6,7,14,18,37,43
2020-12-02,4,5,7,10,25,39
2020-12-04,3,5,33,37,41,43
2020-12-06,11,21,24,27,29,37
2020-12-09,16,24,27,31,36,43
2020-12-11,23,24,25,35,37,39
2020-12-13,10,12,20,36,41,44
2020-12-16,10,11,22,27,36,41
2020-12-18,4,9,14,23,32,38
2020-12-20,15,18,28,30,34,44
2020-12-23,7,11,17,31,35,40
2020-12-25,6,12,15,22,33,39
2020-12-27,3,11,17,19,34,39
2020-12-30,1,13,20,26,35,37
2021-01-01,10,16,24,26,30,32
2021-01-03,4,31,34,36,40,43
2021-01-06,22,27,30,35,40,45
2021-01-08,8,19,22,25,32,35
2021-01-10,10,11,22,32,38,43
2021-01-13,19,20,21,28,33,41
2021-01-15,4,6,10,13,26,43
2021-01-17,4,5,32,39,40,42
2021-01-20,7,20,29,30,40,45
2021-01-22,1,6,7,20,28,43
2021-01-24,8,9,23,25,31,32
2021-01-27,1,7,11,28,41,44
2021-01-29,6,7,8,29,35,39
2021-01-31,4,6,7,11,34,41
2021-02-03,7,9,14,23,35,41
2021-02-05,2,8,31,32,42,44
2021-02-07,1,4,7,15,41,42
2021-02-10,8,13,18,19,21,24
2021-02-14,3,13,18,21,39,44
2021-02-17,3,18,21,22,36,44
2021-02-19,12,19,22,23,34,44
2021-02-21,6,7,22,24,27,37
2021-02-24,2,13,19,33,40,43
2021-02-26,11,13,19,27,37,41
2021-02-28,4,5,25,28,29,42
2021-03-03,1,20,28,37,40,44
2021-03-05,9,11,13,21,27,41
2021-03-07,4,12,25,28,33,45
2021-03-10,5,14,15,19,25,33
2021-03-12,5,11,17,34,38,42
2021-03-14,1,9,11,32,34,42
2021-03-17,6,11,26,28,36,41
2021-03-19,5,6,24,34,36,37
2021-03-21,8,9,11,31,36,39
2021-03-24,7,14,23,26,37,39
2021-03-26,2,11,15,18,23,42
2021-03-28,23,26,40,41,43,44
2021-03-31,2,4,6,36,41,42
2021-04-02,1,5,9,16,42,44
2021-04-04,5,20,27,30,38,43
2021-04-07,13,15,19,25,33,34
2021-04-09,3,4,8,17,19,37
2021-04-11,3,23,27,32,34,39
2021-04-14,11,12,16,18,33,35
2021-04-16,8,9,11,28,30,39
2021-04-18,7,9,15,23,26,27
2021-04-21,3,12,19,27,32,35
2021-04-23,13,16,18,22,34,39
2021-04-25,8,19,21,28,32,44
2021-04-28,21,39,40,41,43,45
2021-04-30,3,4,20,21,36,41
2021-05-02,7,8,30,35,40,44
2021-05-05,3,14,20,22,37,44
2021-05-07,10,20,21,27,33,34
2021-05-09,1,7,16,24,27,37
2021-05-12,9,15,22,27,34,42
2021-05-14,3,11,16,20,24,30
2021-05-16,13,23,33,37,40,43
2021-05-19,3,12,23,29,33,34
2021-05-21,4,28,37,38,40,42
2021-05-23,11,14,22,26,29,44
2021-05-26,1,10,22,36,38,45
2021-05-28,2,15,33,41,44,45
2021-05-30,7,10,19,30,40,45
2021-06-02,10,20,22,26,31,42
2021-06-04,19,24,31,32,35,36
2021-06-06,5,7,10,13,14,42
2021-06-09,2,7,18,20,24,36
2021-06-11,8,12,13,14,32,40
2021-06-13,3,10,12,13,36,44
2021-06-16,11,19,24,28,31,39
2021-06-18,10,11,28,29,40,42
2021-06-20,10,24,27,42,43,45
2021-06-23,4,7,20,28,33,41
2021-06-25,3,5,6,23,24,39
2021-06-27,5,10,29,37,42,44
2021-06-30,2,5,6,8,10,32
2021-07-02,1,14,15,18,32,45
2021-07-04,3,14,15,21,26,37
2021-07-07,1,6,13,30,34,43
2021-07-09,4,9,17,18,28,32
2021-07-11,2,8,15,17,19,30
2021-07-14,4,11,22,29,37,43
2021-07-16,1,9,18,26,41,45
2021-07-18,3,8,19,21,25,36
2021-07-21,8,10,12,29,34,37
2021-07-23,19,26,31,33,41,42
2021-08-18,10,16,19,27,28,36
2021-08-20,4,8,17,27,32,36
2021-08-22,6,7,18,25,40,43
2021-08-25,1,3,5,17,22,33
2021-08-27,4,10,11,15,24,37
2021-08-29,1,18,21,25,27,35
2021-09-01,6,13,33,34,40,45
2021-09-03,6,11,18,23,32,44
2021-09-05,15,18,25,27,29,34
2021-09-08,4,18,28,32,36,40
2021-09-10,10,16,22,36,43,44
2021-09-12,4,8,21,29,33,45
2021-09-15,11,14,17,24,29,35
2021-09-17,6,10,15,37,39,44
2021-09-19,6,24,28,31,36,43
2021-09-22,5,10,19,22,36,45
2021-09-24,1,4,7,14,16,41
2021-09-26,13,27,34,35,36,41
2021-09-29,6,15,16,27,36,42
2021-10-01,11,15,17,27,28,45
2021-10-03,6,12,28,30,39,42
2021-10-06,9,11,15,20,32,36
2021-10-08,4,13,18,23,33,43
2021-10-10,3,25,26,29,40,42
2021-10-13,20,34,37,39,41,42
2021-10-15,5,13,17,20,29,45
2021-10-17,4,12,21,22,27,40
2021-10-20,5,9,33,40,41,45
2021-10-22,3,5,6,9,28,43
2021-10-24,6,29,31,32,39,44
2021-10-27,13,17,26,29,33,39
2021-10-29,17,19,22,31,32,34
2021-10-31,9,14,17,18,36,41
2021-11-03,3,13,15,23,24,44
2021-11-05,10,16,36,40,41,42
2021-11-07,5,20,24,25,35,36
2021-11-10,17,18,19,20,27,44
2021-11-12,11,14,18,24,35,37
2021-11-14,3,5,18,28,42,43
2021-11-17,4,15,25,26,32,35
2021-11-19,9,10,26,28,39,43
2021-11-21,1,12,29,40,44,45
2021-11-24,2,10,18,23,34,36
2021-11-26,4,18,25,29,32,34
2021-11-28,13,17,26,27,31,37
2021-12-01,8,9,30,31,38,45
2021-12-03,10,14,29,37,38,40
2021-12-05,3,5,6,31,34,35
2021-12-08,2,3,16,19,22,34
2021-12-10,1,4,17,19,24,42
2021-12-12,16,21,29,40,41,43
2021-12-15,3,18,29,30,39,41
2021-12-17,8,15,16,21,25,33
2021-12-19,12,15,24,30,36,45
2021-12-22,8,16,17,23,28,38
2021-12-24,3,17,25,26,36,38
2021-12-26,4,11,16,24,35,44
2021-12-29,5,27,33,34,38,40
2021-12-31,2,5,12,33,41,45
